COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
-5,0,500,16,1,Glc,d18:1,16:1
-4.8,0,500,16,1,Glc,d18:1,16:1
-4.6,0,500,16,1,Glc,d18:1,16:1
-4.4,0,500,16,1,Glc,d18:1,16:1
-4.2,0,500,16,1,Glc,d18:1,16:1
-4,0,500,16,1,Glc,d18:1,16:1
-3.8,0,500,16,1,Glc,d18:1,16:1
-3.6,0,500,16,1,Glc,d18:1,16:1
-3.4,0,500,16,1,Glc,d18:1,16:1
-3.2,0,500,16,1,Glc,d18:1,16:1
-3,0,500,16,1,Glc,d18:1,16:1
-2.8,0,500,16,1,Glc,d18:1,16:1
